title,budget,popularity,release_date,revenue,release_year,budget_milhoes,revenue_milhoes
Shanghai Triad,0,1.100915,1995-04-30,0.0,1995,0.0,0.0
Dangerous Minds,0,9.481338,1995-08-11,180000000.0,1995,0.0,180.0
Twelve Monkeys,29500000,12.297305,1995-12-29,168840000.0,1995,29.5,168.84
Wings of Courage,0,0.745542,1996-09-18,0.0,1996,0.0,0.0
Babe,30000000,14.404764,1995-07-18,254134910.0,1995,30.0,254.13
Carrington,0,1.493361,1995-11-08,0.0,1995,0.0,0.0
Dead Man Walking,11000000,6.891317,1995-12-29,39363635.0,1995,11.0,39.36
Across the Sea of Time,0,0.114469,1995-10-20,0.0,1995,0.0,0.0
It Takes Two,0,7.777735,1995-11-17,0.0,1995,0.0,0.0
Clueless,12000000,9.882383,1995-07-19,0.0,1995,12.0,0.0
"Cry, the Beloved Country",0,0.894647,1995-12-15,676525.0,1995,0.0,0.68
Richard III,0,4.561387,1995-12-29,0.0,1995,0.0,0.0
Dead Presidents,10000000,9.87957,1995-10-06,0.0,1995,10.0,0.0
Restoration,19000000,10.979269,1995-12-29,0.0,1995,19.0,0.0
Mortal Kombat,18000000,10.870138,1995-08-18,122195920.0,1995,18.0,122.2
To Die For,20000000,10.448481,1995-05-20,21284514.0,1995,20.0,21.28
How To Make An American Quilt,10000000,4.485958,1995-10-06,23574130.0,1995,10.0,23.57
Se7en,33000000,18.45743,1995-09-22,327311859.0,1995,33.0,327.31
Pocahontas,55000000,13.280069,1995-06-14,346079773.0,1995,55.0,346.08
When Night Is Falling,0,3.302524,1995-05-05,0.0,1995,0.0,0.0
The Usual Suspects,6000000,16.302466,1995-07-19,23341568.0,1995,6.0,23.34
Guardian Angel,0,0.595949,1994-11-22,0.0,1994,0.0,0.0
Mighty Aphrodite,15000000,15.899134,1995-09-13,6700000.0,1995,15.0,6.7
Lamerica,0,1.361286,1994-01-01,0.0,1994,0.0,0.0
The Big Green,0,5.982764,1995-09-29,0.0,1995,0.0,0.0
Georgia,0,4.093443,1995-05-19,0.0,1995,0.0,0.0
Kids of the Round Table,0,0.307075,1997-07-08,0.0,1997,0.0,0.0
Home for the Holidays,0,8.416802,1995-11-02,17519169.0,1995,0.0,17.52
The Postman,0,10.168437,1994-09-22,0.0,1994,0.0,0.0
The Confessional,0,0.120789,1995-09-29,0.0,1995,0.0,0.0
The Indian in the Cupboard,45000000,10.673296,1995-07-14,0.0,1995,45.0,0.0
Eye for an Eye,20000000,4.733526,1996-01-12,0.0,1996,20.0,0.0
Mr. Holland's Opus,0,7.137117,1995-12-29,106269971.0,1995,0.0,106.27
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,11.700115,1996-01-12,0.0,1996,0.0,0.0
Two If by Sea,0,2.174487,1996-01-12,0.0,1996,0.0,0.0
Bio-Dome,15000000,6.387469,1996-01-12,0.0,1996,15.0,0.0
Lawnmower Man 2: Beyond Cyberspace,0,2.49535,1996-01-12,2409225.0,1996,0.0,2.41
Two Bits,0,4.046208,1995-10-22,0.0,1995,0.0,0.0
French Twist,0,2.518051,1995-02-08,0.0,1995,0.0,0.0
Friday,3500000,14.56965,1995-04-26,28215918.0,1995,3.5,28.22
From Dusk Till Dawn,19000000,15.339153,1996-01-19,25836616.0,1996,19.0,25.84
Fair Game,50000000,5.912223,1995-11-03,11534477.0,1995,50.0,11.53
Kicking and Screaming,0,3.367276,1995-10-06,718490.0,1995,0.0,0.72
Les Miserables,0,1.479446,1995-03-22,0.0,1995,0.0,0.0
Bed of Roses,0,10.412194,1996-01-26,19030691.0,1996,0.0,19.03
Big Bully,15000000,2.936443,1996-01-26,2042530.0,1996,15.0,2.04
Screamers,20000000,12.758848,1995-09-08,5781885.0,1995,20.0,5.78
Nico Icon,0,0.133893,1995-02-18,0.0,1995,0.0,0.0
The Crossing Guard,0,5.756462,1995-11-15,0.0,1995,0.0,0.0
The Juror,44000000,6.010579,1996-02-02,0.0,1996,44.0,0.0
The White Balloon,0,1.196256,1995-01-01,0.0,1995,0.0,0.0
Things to Do in Denver When You're Dead,8000000,4.486179,1995-12-01,529766.0,1995,8.0,0.53
Antonia's Line,900000,2.030174,1995-09-12,0.0,1995,0.9,0.0
Once Upon a Time... When We Were Colored,0,0.252287,1996-01-26,0.0,1996,0.0,0.0
Last Summer in the Hamptons,0,0.531159,1995-11-22,0.0,1995,0.0,0.0
Angels and Insects,0,2.15166,1995-09-10,0.0,1995,0.0,0.0
White Squall,38000000,9.568604,1996-02-02,10300000.0,1996,38.0,10.3
Dunston Checks In,16000000,4.814825,1996-01-12,0.0,1996,16.0,0.0
Black Sheep,0,8.963037,1996-02-01,32.0,1996,0.0,0.0
Nick of Time,8169363,6.848591,1995-11-22,8175346.0,1995,8.17,8.18
The Journey of August King,0,0.411424,1995-09-14,0.0,1995,0.0,0.0
Mary Reilly,47000000,12.866139,1996-02-23,12379402.0,1996,47.0,12.38
Vampire in Brooklyn,14000000,9.071127,1995-10-26,19800000.0,1995,14.0,19.8
Beautiful Girls,0,4.670562,1996-02-09,0.0,1996,0.0,0.0
Broken Arrow,50000000,14.957626,1996-02-09,150270147.0,1996,50.0,150.27
A Midwinter's Tale,0,0.513391,1995-12-01,0.0,1995,0.0,0.0
La Haine,3000000,12.108196,1995-05-31,0.0,1995,3.0,0.0
Shopping,0,2.657647,1994-12-06,0.0,1994,0.0,0.0
Heidi Fleiss: Hollywood Madam,0,0.638211,1995-12-27,0.0,1995,0.0,0.0
City Hall,0,4.807223,1996-02-16,0.0,1996,0.0,0.0
Bottle Rocket,7000000,6.904831,1996-02-21,560069.0,1996,7.0,0.56
Mr. Wrong,0,3.329264,1996-02-16,0.0,1996,0.0,0.0
Unforgettable,18000000,2.464425,1996-02-23,0.0,1996,18.0,0.0
Happy Gilmore,12000000,9.592265,1996-02-16,41205099.0,1996,12.0,41.21
The Bridges of Madison County,24000000,5.951077,1995-05-28,182016617.0,1995,24.0,182.02
Nobody Loves Me,0,1.015068,1994-11-07,0.0,1994,0.0,0.0
Muppet Treasure Island,0,6.902423,1996-02-16,34327391.0,1996,0.0,34.33
Catwalk,0,0.976707,1995-12-08,0.0,1995,0.0,0.0
Headless Body in Topless Bar,0,0.001346,1995-05-20,0.0,1995,0.0,0.0
Braveheart,72000000,20.755149,1995-05-24,210000000.0,1995,72.0,210.0
Taxi Driver,1300000,14.092713,1976-02-07,28262574.0,1976,1.3,28.26
Rumble in the Bronx,7500000,12.314278,1995-01-30,32392047.0,1995,7.5,32.39
Before and After,35000000,2.938293,1996-02-23,0.0,1996,35.0,0.0
Margaret's Museum,0,0.372697,1995-09-13,0.0,1995,0.0,0.0
Happiness Is in the Field,13365000,1.254885,1995-01-31,0.0,1995,13.36,0.0
Anne Frank Remembered,0,0.243986,1995-06-08,1.0,1995,0.0,0.0
The Young Poisoner's Handbook,0,6.178497,1995-01-20,0.0,1995,0.0,0.0
If Lucy Fell,0,2.891918,1996-03-08,0.0,1996,0.0,0.0
Steal Big Steal Little,25000000,1.522412,1995-09-29,6278139.0,1995,25.0,6.28
Race the Sun,0,1.317878,1996-03-22,0.0,1996,0.0,0.0
The Boys of St. Vincent,0,0.86539,1992-12-06,0.0,1992,0.0,0.0
Boomerang,40000000,6.506983,1992-06-30,70100000.0,1992,40.0,70.1
Chungking Express,0,6.778979,1994-07-14,0.0,1994,0.0,0.0
The Star Maker,0,1.702639,1995-09-21,0.0,1995,0.0,0.0
Flirting with Disaster,7000000,5.579088,1996-03-22,14702438.0,1996,7.0,14.7
The Neverending Story III: Escape from Fantasia,17000000,6.252377,1994-10-26,0.0,1994,17.0,0.0
The Silences of the Palace,0,0.406754,1994-09-30,0.0,1994,0.0,0.0
Jupiter's Wife,0,0.001178,1995-01-01,0.0,1995,0.0,0.0
Pie in the Sky,0,0.699066,1996-02-09,0.0,1996,0.0,0.0
Angela,0,2.197439,1995-01-01,0.0,1995,0.0,0.0
Frankie Starlight,0,0.637554,1995-11-22,0.0,1995,0.0,0.0
Jade,50000000,11.418917,1995-10-13,9851610.0,1995,50.0,9.85
Nueba Yol,0,0.291021,1995-08-16,0.0,1995,0.0,0.0
Sonic Outlaws,0,0.001838,1995-08-01,0.0,1995,0.0,0.0
Down Periscope,0,5.184977,1996-03-01,0.0,1996,0.0,0.0
From the Journals of Jean Seberg,0,0.276401,1995-09-08,0.0,1995,0.0,0.0
Man of the Year,0,0.540436,1995-09-15,209935.0,1995,0.0,0.21
The Neon Bible,0,0.370342,1995-08-23,0.0,1995,0.0,0.0
Target,0,0.001205,1995-08-01,0.0,1995,0.0,0.0
Up Close & Personal,60000000,3.402749,1996-03-01,0.0,1996,60.0,0.0
The Birdcage,31000000,6.49968,1996-03-08,185260553.0,1996,31.0,185.26
Virgin Mary,0,0.918504,1995-10-12,0.0,1995,0.0,0.0
The Brothers McMullen,0,2.039196,1995-08-09,0.0,1995,0.0,0.0
Bad Boys,19000000,9.262184,1995-04-07,141407024.0,1995,19.0,141.41
The Amazing Panda Adventure,0,2.375865,1995-08-25,0.0,1995,0.0,0.0
The Basketball Diaries,0,7.415144,1995-04-21,0.0,1995,0.0,0.0
An Awfully Big Adventure,4000000,0.922958,1995-07-21,851545.0,1995,4.0,0.85
Amateur,0,1.759012,1994-08-05,0.0,1994,0.0,0.0
Apollo 13,52000000,18.761467,1995-06-30,355237933.0,1995,52.0,355.24
Rob Roy,28000000,10.193549,1995-04-13,31596911.0,1995,28.0,31.6
The Addiction,0,3.137285,1995-01-10,0.0,1995,0.0,0.0
Batman Forever,100000000,13.321354,1995-06-16,336529144.0,1995,100.0,336.53
Belle de Jour,0,10.142662,1967-05-24,0.0,1967,0.0,0.0
Beyond Rangoon,0,2.04189,1995-05-24,0.0,1995,0.0,0.0
Blue in the Face,2000000,11.528147,1995-09-15,1275000.0,1995,2.0,1.27
Canadian Bacon,11000000,5.391556,1995-06-08,178104.0,1995,11.0,0.18
Casper,50000000,12.812539,1995-05-26,287928194.0,1995,50.0,287.93
Clockers,25000000,4.558992,1995-09-15,13071518.0,1995,25.0,13.07
Congo,50000000,7.260574,1995-06-09,152022101.0,1995,50.0,152.02
Crimson Tide,53000000,8.657365,1995-05-12,157387195.0,1995,53.0,157.39
Crumb,0,3.620388,1994-09-10,3174695.0,1994,0.0,3.17
Desperado,7000000,6.950458,1995-08-25,25405445.0,1995,7.0,25.41
Devil in a Blue Dress,27000000,4.646132,1995-09-15,16140822.0,1995,27.0,16.14
Die Hard: With a Vengeance,90000000,15.138855,1995-05-19,366101666.0,1995,90.0,366.1
The Doom Generation,0,7.120806,1995-10-27,0.0,1995,0.0,0.0
Feast of July,0,0.523575,1995-10-12,0.0,1995,0.0,0.0
First Knight,55000000,15.178338,1995-07-07,127600435.0,1995,55.0,127.6
Free Willy 2 - The Adventure Home,0,7.575098,1995-07-19,0.0,1995,0.0,0.0
Hackers,20000000,14.810519,1995-09-14,7563728.0,1995,20.0,7.56
Jeffrey,0,3.196456,1995-08-18,0.0,1995,0.0,0.0
Johnny Mnemonic,25000000,11.715868,1995-05-26,19075720.0,1995,25.0,19.08
Judge Dredd,90000000,8.184815,1995-06-30,113493481.0,1995,90.0,113.49
Jury Duty,0,3.676921,1995-04-12,17014653.0,1995,0.0,17.01
Kids,1500000,4.877872,1995-07-28,7412216.0,1995,1.5,7.41
Living in Oblivion,500000,10.058329,1995-01-20,1148752.0,1995,0.5,1.15
Lord of Illusions,0,4.102409,1995-08-25,0.0,1995,0.0,0.0
Love & Human Remains,0,0.354014,1993-05-20,0.0,1993,0.0,0.0
Mad Love,0,2.624771,1995-05-26,15453274.0,1995,0.0,15.45
Mallrats,6000000,8.25547,1995-10-20,2122561.0,1995,6.0,2.12
Mighty Morphin Power Rangers: The Movie,15000000,7.024227,1995-06-30,66000000.0,1995,15.0,66.0
Moonlight and Valentino,0,1.01115,1995-09-29,0.0,1995,0.0,0.0
Mute Witness,2,2.466066,1995-09-28,1.0,1995,0.0,0.0
Nadja,0,7.720056,1994-09-13,0.0,1994,0.0,0.0
The Net,22000000,13.304342,1995-07-28,110627965.0,1995,22.0,110.63
Nine Months,0,8.482834,1995-07-12,69660733.0,1995,0.0,69.66
Party Girl,150000,1.165039,1995-06-09,472370.0,1995,0.15,0.47
The Prophecy,8,10.187623,1995-09-01,16.0,1995,0.0,0.0
Reckless,0,0.119713,1995-11-17,0.0,1995,0.0,0.0
Safe,0,8.180047,1995-06-23,0.0,1995,0.0,0.0
The Scarlet Letter,50000000,6.752119,1995-10-13,10382407.0,1995,50.0,10.38
The Show,0,0.159596,1995-08-25,0.0,1995,0.0,0.0
Showgirls,45000000,17.502375,1995-09-22,20350754.0,1995,45.0,20.35
Smoke,7000000,5.552946,1995-06-09,8349430.0,1995,7.0,8.35
Something to Talk About,0,3.743212,1995-08-04,50892160.0,1995,0.0,50.89
Species,35000000,13.492845,1995-07-07,113374103.0,1995,35.0,113.37
The Stars Fell on Henrietta,0,0.913522,1995-09-15,0.0,1995,0.0,0.0
Strange Days,42000000,11.223055,1995-10-13,7959291.0,1995,42.0,7.96
The Umbrellas of Cherbourg,0,8.133881,1964-02-19,0.0,1964,0.0,0.0
The Tie That Binds,14000000,1.820419,1995-09-08,5780000.0,1995,14.0,5.78
Three Wishes,0,11.002046,1995-10-27,7025496.0,1995,0.0,7.03
Total Eclipse,0,4.546552,1995-11-02,339889.0,1995,0.0,0.34
"To Wong Foo, Thanks for Everything! Julie Newmar",0,7.653446,1995-09-07,47774193.0,1995,0.0,47.77
Under Siege 2: Dark Territory,60000000,7.490247,1995-07-13,104324083.0,1995,60.0,104.32
Unstrung Heroes,0,2.881689,1995-09-15,0.0,1995,0.0,0.0
Unzipped,0,0.786023,1995-08-11,0.0,1995,0.0,0.0
A Walk in the Clouds,20000000,9.715639,1995-08-11,50012507.0,1995,20.0,50.01
Waterworld,175000000,16.885184,1995-07-28,264218220.0,1995,175.0,264.22
White Man's Burden,8000000,1.834099,1995-12-01,0.0,1995,8.0,0.0
Wild Bill,30000000,8.922139,1995-12-01,0.0,1995,30.0,0.0
The Browning Version,0,3.727644,1994-10-12,0.0,1994,0.0,0.0
Bushwhacked,0,3.287036,1995-08-04,0.0,1995,0.0,0.0
Burnt by the Sun,2800000,2.486073,1994-05-01,2616503.0,1994,2.8,2.62
Before the Rain,0,3.525649,1994-06-09,763847.0,1994,0.0,0.76
Before Sunrise,2500000,11.304979,1995-01-27,5535405.0,1995,2.5,5.54
Billy Madison,10000000,6.638116,1995-02-10,26488734.0,1995,10.0,26.49
The Babysitter,0,2.761837,1995-10-17,0.0,1995,0.0,0.0
Boys on the Side,21000000,3.030309,1995-02-03,23450000.0,1995,21.0,23.45
The Cure,0,2.686342,1995-04-21,0.0,1995,0.0,0.0
Castle Freak,0,2.26977,1995-08-04,0.0,1995,0.0,0.0
Circle of Friends,0,2.605521,1995-03-16,0.0,1995,0.0,0.0
Clerks,27000,10.513367,1994-09-13,3151130.0,1994,0.03,3.15
Don Juan DeMarco,25000000,7.438934,1994-10-01,22200000.0,1994,25.0,22.2
Disclosure,55000000,11.812244,1994-12-09,214015089.0,1994,55.0,214.02
Dream Man,0,0.155859,1995-01-01,0.0,1995,0.0,0.0
Drop Zone,45000000,9.579155,1994-12-08,0.0,1994,45.0,0.0
Destiny Turns on the Radio,0,0.710671,1995-04-28,0.0,1995,0.0,0.0
Death and the Maiden,0,5.484156,1994-05-04,0.0,1994,0.0,0.0
Dolores Claiborne,0,5.8025,1995-03-24,0.0,1995,0.0,0.0
Dumb and Dumber,16000000,9.844558,1994-12-16,247275374.0,1994,16.0,247.28
Eat Drink Man Woman,0,4.860016,1994-08-03,7294403.0,1994,0.0,7.29
Exotica,0,5.378467,1994-09-24,0.0,1994,0.0,0.0
Exit to Eden,0,4.322726,1994-10-14,6841570.0,1994,0.0,6.84
Ed Wood,18000000,11.720358,1994-09-27,5887457.0,1994,18.0,5.89
French Kiss,0,9.146544,1995-05-05,0.0,1995,0.0,0.0
Forget Paris,0,16.236745,1995-05-19,0.0,1995,0.0,0.0
Far from Home: The Adventures of Yellow Dog,0,2.657337,1995-01-13,0.0,1995,0.0,0.0
A Goofy Movie,0,10.177977,1995-04-07,35348597.0,1995,0.0,35.35
Hideaway,15000000,8.182165,1995-03-03,12201255.0,1995,15.0,12.2
Fluke,0,4.953936,1995-06-02,0.0,1995,0.0,0.0
Farinelli,0,8.935058,1994-12-07,0.0,1994,0.0,0.0
Gordy,0,0.398924,1995-05-12,3992809.0,1995,0.0,3.99
Gumby: The Movie,0,0.090452,1995-12-01,0.0,1995,0.0,0.0
The Glass Shield,0,1.012197,1994-09-16,0.0,1994,0.0,0.0
Hoop Dreams,700000,9.47666,1994-09-12,7830611.0,1994,0.7,7.83
Heavenly Creatures,5000000,9.438042,1994-09-02,3049135.0,1994,5.0,3.05
Houseguest,10500000,2.688562,1995-01-06,26325256.0,1995,10.5,26.33
Immortal Beloved,120,7.983666,1994-12-16,0.0,1994,0.0,0.0
Heavyweights,0,9.546707,1995-02-17,17689177.0,1995,0.0,17.69
The Hunted,0,2.756986,1995-02-24,0.0,1995,0.0,0.0
I.Q.,25000000,5.146352,1994-12-24,0.0,1994,25.0,0.0
Interview with the Vampire,60000000,11.970205,1994-11-11,223664608.0,1994,60.0,223.66
Jefferson in Paris,14000000,1.596058,1995-03-31,2474000.0,1995,14.0,2.47
The Jerky Boys,0,0.748846,1995-02-03,0.0,1995,0.0,0.0
Junior,60000000,6.710215,1994-11-22,37000000.0,1994,60.0,37.0
Just Cause,0,9.195256,1995-02-17,0.0,1995,0.0,0.0
A Kid in King Arthur's Court,0,5.874511,1995-08-11,0.0,1995,0.0,0.0
Kiss of Death,40000000,7.797512,1995-04-21,0.0,1995,40.0,0.0
Star Wars,11000000,42.149697,1977-05-25,775398007.0,1977,11.0,775.4
Little Women,18000000,9.774994,1994-12-21,0.0,1994,18.0,0.0
A Little Princess,17000000,7.731725,1995-05-10,0.0,1995,17.0,0.0
Ladybird Ladybird,0,0.84508,1994-02-18,0.0,1994,0.0,0.0
L'Enfer,10000000,1.948315,1994-02-16,0.0,1994,10.0,0.0
Like Water for Chocolate,2000000,4.126083,1992-04-16,21665468.0,1992,2.0,21.67
Legends of the Fall,30000000,12.199047,1994-12-16,160638883.0,1994,30.0,160.64
Major Payne,0,9.253362,1995-03-24,0.0,1995,0.0,0.0
Little Odessa,0,1.861292,1994-10-27,0.0,1994,0.0,0.0
Mi Vida Loca,0,1.788829,1994-06-08,0.0,1994,0.0,0.0
Love Affair,60000000,3.290192,1994-10-21,0.0,1994,60.0,0.0
Losing Isaiah,17000000,7.698526,1995-03-17,7603766.0,1995,17.0,7.6
The Madness of King George,0,4.81307,1994-12-28,0.0,1994,0.0,0.0
Mary Shelley's Frankenstein,45000000,14.287753,1994-11-04,112006296.0,1994,45.0,112.01
Man of the House,0,2.558118,1995-03-03,0.0,1995,0.0,0.0
Mixed Nuts,15000000,2.899608,1994-12-21,0.0,1994,15.0,0.0
Milk Money,0,3.770115,1994-08-31,18137661.0,1994,0.0,18.14
Miracle on 34th Street,0,5.831622,1994-11-18,46264384.0,1994,0.0,46.26
Miami Rhapsody,6,1.137266,1995-01-27,5.0,1995,0.0,0.0
My Family,5500000,3.121288,1995-05-03,0.0,1995,5.5,0.0
Murder in the First,0,9.518564,1995-01-20,17381942.0,1995,0.0,17.38
Nobody's Fool,0,2.891269,1994-12-23,0.0,1994,0.0,0.0
Nell,31000000,5.930957,1994-12-23,106683817.0,1994,31.0,106.68
New Jersey Drive,0,0.629955,1995-04-19,0.0,1995,0.0,0.0
New York Cop,0,0.004537,1993-08-14,0.0,1993,0.0,0.0
Beyond Bedlam,4800000,0.426952,1994-04-22,0.0,1994,4.8,0.0
Nemesis 2 - Nebula,0,1.466491,1995-09-26,0.0,1995,0.0,0.0
Nina Takes a Lover,0,0.769522,1995-03-03,0.0,1995,0.0,0.0
Natural Born Killers,34000000,11.226856,1994-08-25,50282766.0,1994,34.0,50.28
Only You,0,4.936761,1994-09-17,0.0,1994,0.0,0.0
Once Were Warriors,0,4.025276,1994-09-02,2201126.0,1994,0.0,2.2
Poison Ivy II: Lily,0,6.448039,1996-01-16,0.0,1996,0.0,0.0
Outbreak,50000000,13.676444,1995-03-10,189859560.0,1995,50.0,189.86
Leon: The Professional,16000000,20.477329,1994-09-14,45284974.0,1994,16.0,45.28
The Perez Family,11000000,1.433544,1995-05-12,2832826.0,1995,11.0,2.83
A Pyromaniac's Love Story,0,0.463307,1995-04-28,0.0,1995,0.0,0.0
Pulp Fiction,8000000,140.950236,1994-09-10,213928762.0,1994,8.0,213.93
Panther,0,7.160149,1995-11-10,6834525.0,1995,0.0,6.83
Pushing Hands,400000,1.638622,1992-02-01,152322.0,1992,0.4,0.15
Priest,0,1.881932,1994-01-01,4176932.0,1994,0.0,4.18
Quiz Show,0,7.772505,1994-09-16,0.0,1994,0.0,0.0
Picture Bride,0,1.296912,1995-05-05,0.0,1995,0.0,0.0
Queen Margot,0,4.405405,1994-05-13,0.0,1994,0.0,0.0
The Quick and the Dead,32000000,7.54701,1995-02-09,18552460.0,1995,32.0,18.55
Roommates,22000000,3.395867,1995-03-01,12400000.0,1995,22.0,12.4
Prêt-à-Porter,15000000,6.259433,1994-12-23,11300653.0,1994,15.0,11.3
Three Colors: Red,0,7.832755,1994-05-27,0.0,1994,0.0,0.0
Three Colors: Blue,0,8.843517,1993-01-10,0.0,1993,0.0,0.0
Three Colors: White,0,6.5898,1994-01-26,0.0,1994,0.0,0.0
"Red Firecracker, Green Firecracker",0,0.078257,1994-10-14,0.0,1994,0.0,0.0
Rent-a-Kid,0,1.155255,1995-01-01,0.0,1995,0.0,0.0
Relative Fear,0,0.499601,1995-10-03,0.0,1995,0.0,0.0
Stuart Saves His Family,0,1.390885,1995-04-12,0.0,1995,0.0,0.0
The Swan Princess,35000000,8.910462,1994-11-18,9771658.0,1994,35.0,9.77
The Secret of Roan Inish,0,1.750481,1994-01-01,0.0,1994,0.0,0.0
The Specialist,45000000,10.388183,1994-10-07,170362582.0,1994,45.0,170.36
Stargate,55000000,13.328924,1994-10-27,196567262.0,1994,55.0,196.57
The Santa Clause,22000000,9.665424,1994-11-10,189833357.0,1994,22.0,189.83
The Shawshank Redemption,25000000,51.645403,1994-09-23,28341469.0,1994,25.0,28.34
Shallow Grave,0,8.223026,1994-12-22,0.0,1994,0.0,0.0
Suture,0,1.298224,1993-09-14,102780.0,1993,0.0,0.1
Strawberry and Chocolate,0,1.777197,1993-01-01,0.0,1993,0.0,0.0
Swimming with Sharks,0,5.869261,1994-09-10,0.0,1994,0.0,0.0
The Sum of Us,32,1.407427,1994-07-12,0.0,1994,0.0,0.0
Senior Trip,0,5.05806,1995-09-08,0.0,1995,0.0,0.0
To Live,0,5.260627,1994-06-30,0.0,1994,0.0,0.0
Tank Girl,25000000,7.602087,1995-03-31,4064495.0,1995,25.0,4.06
Tales from the Crypt: Demon Knight,0,9.455342,1995-01-13,0.0,1995,0.0,0.0
Star Trek: Generations,38000000,8.105708,1994-11-17,120000000.0,1994,38.0,120.0
Tales from the Hood,6000000,2.86007,1995-05-24,12000000.0,1995,6.0,12.0
Tom & Viv,0,0.704204,1994-04-15,0.0,1994,0.0,0.0
Village of the Damned,0,6.529879,1995-04-28,0.0,1995,0.0,0.0
Tommy Boy,0,11.971318,1995-03-31,32648673.0,1995,0.0,32.65
Vanya on 42nd Street,0,7.039846,1994-09-13,0.0,1994,0.0,0.0
The Underneath,6500000,2.059771,1995-04-28,0.0,1995,6.5,0.0
The Walking Dead,0,0.620873,1995-02-24,0.0,1995,0.0,0.0
What's Eating Gilbert Grape,11000000,10.3919,1993-12-17,10032765.0,1993,11.0,10.03
Virtuosity,30000000,5.188399,1995-08-04,24048000.0,1995,30.0,24.05
While You Were Sleeping,17000000,15.783615,1995-04-21,182057016.0,1995,17.0,182.06
The War,0,3.908596,1994-11-04,0.0,1994,0.0,0.0
Double Happiness,0,0.372239,1994-09-07,759393.0,1994,0.0,0.76
Muriel's Wedding,3000000,5.254847,1994-09-29,15119639.0,1994,3.0,15.12
The Baby-Sitters Club,0,2.15805,1995-08-18,0.0,1995,0.0,0.0
Ace Ventura: Pet Detective,15000000,11.247957,1994-02-04,107217396.0,1994,15.0,107.22
"The Adventures of Priscilla, Queen of the Desert",0,8.328596,1994-05-31,11220670.0,1994,0.0,11.22
Backbeat,0,2.487951,1994-04-01,0.0,1994,0.0,0.0
Bitter Moon,5000000,11.298195,1992-09-02,1862805.0,1992,5.0,1.86
Bullets Over Broadway,0,5.72288,1994-10-14,0.0,1994,0.0,0.0
Clear and Present Danger,62000000,7.513245,1994-08-03,215887717.0,1994,62.0,215.89
The Client,45000000,15.263829,1994-07-20,117615211.0,1994,45.0,117.62
"Corrina, Corrina",0,6.924689,1994-08-12,0.0,1994,0.0,0.0
Crooklyn,0,2.533022,1994-05-13,0.0,1994,0.0,0.0
The Crow,15000000,15.799336,1994-05-11,94000000.0,1994,15.0,94.0
Cobb,0,2.583363,1994-12-02,1007583.0,1994,0.0,1.01
The Flintstones,46000000,15.019586,1994-05-26,341631208.0,1994,46.0,341.63
Forrest Gump,55000000,48.307194,1994-07-06,677945399.0,1994,55.0,677.95
Four Weddings and a Funeral,6000000,8.990345,1994-03-09,254700832.0,1994,6.0,254.7
Higher Learning,0,7.817811,1995-01-11,38290723.0,1995,0.0,38.29
