Nome;Gênero;Cor_dos_olhos;Raça;Cor_do_cabelo;Altura_cm;Editora;Cor_da_pele;Alinhamento;Peso_kg;Altura_m;IMC
Raphael;Masculino;unknown;Mutant;No Hair;186.72630560928434;IDW Publishing;green;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Michelangelo;Masculino;blue;Mutant;unknown;186.72630560928434;IDW Publishing;green;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Drax the Destroyer;Masculino;red;Human / Altered;No Hair;193.0;Marvel Comics;green;bom;306.0;1.93;82.14985637198315
Triton;Masculino;green;Inhuman;No Hair;188.0;Marvel Comics;green;bom;86.0;1.88;24.332277048438208
Fin Fang Foom;Masculino;red;Kakarantharaian;No Hair;975.0;Marvel Comics;green;bom;18.0;9.75;0.1893491124260355
Man-Thing;Masculino;red;unknown;No Hair;213.0;Marvel Comics;green;bom;225.0;2.13;49.59333465582227
Hulk;Masculino;green;Human / Radiation;Green;244.0;Marvel Comics;green;bom;630.0;2.44;105.81832840634239
Mantis;Feminino;green;HumanKree;Black;168.0;Marvel Comics;green;bom;52.0;1.68;18.42403628117914
Gamora;Feminino;yellow;ZenWhoberian;Black;183.0;Marvel Comics;green;bom;77.0;1.83;22.99262444384723
Toad;Masculino;black;Mutant;Brown;175.0;Marvel Comics;green;neutro;76.0;1.75;24.816326530612244
Darkseid;Masculino;red;New God;No Hair;267.0;DC Comics;grey;mau;817.0;2.67;114.60393609112205
Tiger Shark;Masculino;grey;Human;No Hair;185.0;Marvel Comics;grey;mau;203.0;1.85;59.313367421475526
Apocalypse;Masculino;red;Mutant;Black;213.0;Marvel Comics;grey;mau;135.0;2.13;29.75600079349336
Godzilla;Desconhecido;unknown;Kaiju;unknown;108.0;unknown;grey;mau;112.25252525252525;1.08;96.23844757589612
Century;Masculino;white;Alien;White;201.0;Marvel Comics;grey;bom;97.0;2.01;24.009306700329205
Starfire;Feminino;green;Tamaranean;Auburn;193.0;DC Comics;orange;bom;71.0;1.93;19.060914386963407
Jar Jar Binks;Masculino;yellow;Gungan;unknown;193.0;George Lucas;orange / white;bom;112.25252525252525;1.93;30.135715120546926
Kilowog;Masculino;red;Bolovaxian;No Hair;234.0;DC Comics;pink;bom;324.0;2.34;59.1715976331361
Blink;Feminino;green;Mutant;Magenta;165.0;Marvel Comics;pink;bom;56.0;1.65;20.569329660238754
Purple Man;Masculino;purple;Human;Purple;180.0;Marvel Comics;purple;mau;74.0;1.8;22.839506172839506
Thanos;Masculino;red;Eternal;No Hair;201.0;Marvel Comics;purple;mau;443.0;2.01;109.65075121902926
Gladiator;Masculino;blue;Strontian;Blue;198.0;Marvel Comics;purple;neutro;268.0;1.98;68.36037139067442
Trigon;Masculino;yellow;God / Eternal;Black;186.72630560928434;DC Comics;red;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Klaw;Masculino;red;Human;No Hair;188.0;Marvel Comics;red;mau;97.0;1.88;27.44454504300589
Exodus;Masculino;blue;Mutant;Black;183.0;Marvel Comics;red;mau;88.0;1.83;26.27728507868255
Azazel;Masculino;yellow;Neyaphem;Black;183.0;Marvel Comics;red;mau;67.0;1.83;20.00656932126967
Abin Sur;Masculino;blue;Ungaran;No Hair;185.0;DC Comics;red;bom;90.0;1.85;26.296566837107374
Vision;Masculino;gold;Android;No Hair;191.0;Marvel Comics;red;bom;135.0;1.91;37.00556454044571
Kool-Aid Man;Masculino;black;unknown;No Hair;186.72630560928434;unknown;red;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Sinestro;Masculino;black;Korugaran;Black;201.0;DC Comics;red;neutro;92.0;2.01;22.771713571446256
Red Hulk;Masculino;yellow;Human / Radiation;Black;213.0;Marvel Comics;red;neutro;630.0;2.13;138.86133703630233
Darth Maul;Masculino;yellow / red;Dathomirian Zabrak;unknown;170.0;George Lucas;red / black;mau;112.25252525252525;1.7;38.841704239628115
T-1000;Masculino;unknown;Android;unknown;183.0;Dark Horse Comics;silver;mau;146.0;1.83;43.59640478963241
T-X;Feminino;unknown;Cyborg;unknown;186.72630560928434;Dark Horse Comics;silver;mau;149.0;1.8672630560928434;42.73416858009364
Ultron;Masculino;red;Android;unknown;206.0;Marvel Comics;silver;mau;331.0;2.06;77.99981148081818
Captain Atom;Masculino;blue;Human / Radiation;Silver;193.0;DC Comics;silver;bom;90.0;1.93;24.161722462347985
Silver Surfer;Masculino;white;Alien;No Hair;193.0;Marvel Comics;silver;bom;101.0;1.93;27.114821874412737
Joker;Masculino;green;Human;Green;196.0;DC Comics;white;mau;86.0;1.96;22.38650562265723
Steppenwolf;Masculino;red;New God;Black;183.0;DC Comics;white;mau;91.0;1.83;27.173101615455817
Blackout;Masculino;red;Demon;White;191.0;Marvel Comics;white;mau;104.0;1.91;28.50799046078781
Spectre;Masculino;white;God / Eternal;No Hair;186.72630560928434;DC Comics;white;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Ymir;Masculino;white;Frost Giant;No Hair;304.8;Marvel Comics;white;bom;112.25252525252525;3.048;12.082761258676275
Domino;Feminino;blue;Human;Black;173.0;Marvel Comics;white;bom;54.0;1.73;18.042701059173375
Bizarro;Masculino;black;Bizarro;Black;191.0;DC Comics;white;neutro;155.0;1.91;42.48787039828952
Swarm;Masculino;yellow;Mutant;No Hair;196.0;Marvel Comics;yellow;mau;47.0;1.96;12.23448563098709
Etrigan;Masculino;red;Demon;No Hair;193.0;DC Comics;yellow;neutro;203.0;1.93;54.49810733174045
T-800;Masculino;red;Cyborg;unknown;186.72630560928434;Dark Horse Comics;unknown;mau;176.0;1.8672630560928434;50.477944094607246
T-850;Masculino;red;Cyborg;unknown;186.72630560928434;Dark Horse Comics;unknown;mau;198.0;1.8672630560928434;56.787687106433154
Predator;Masculino;unknown;Yautja;unknown;213.0;Dark Horse Comics;unknown;mau;234.0;2.13;51.57706804205515
Doomsday;Masculino;red;Alien;White;244.0;DC Comics;unknown;mau;412.0;2.44;69.20182746573502
Solomon Grundy;Masculino;black;Zombie;White;279.0;DC Comics;unknown;mau;437.0;2.79;56.140080420344034
Granny Goodness;Feminino;blue;unknown;White;178.0;DC Comics;unknown;mau;115.0;1.78;36.295922232041406
Professor Zoom;Masculino;blue;Human;Strawberry Blond;180.0;DC Comics;unknown;mau;81.0;1.8;25.0
Giganta;Feminino;green;unknown;Red;62.5;DC Comics;unknown;mau;630.0;0.625;1612.8
Maxima;Feminino;brown;unknown;Red;180.0;DC Comics;unknown;mau;72.0;1.8;22.22222222222222
Lightning Lord;Masculino;blue;unknown;Red;191.0;DC Comics;unknown;mau;95.0;1.91;26.040952824758094
Plastique;Feminino;blue;unknown;Red;168.0;DC Comics;unknown;mau;55.0;1.68;19.48696145124717
Siren;Feminino;blue;Atlantean;Purple;175.0;DC Comics;unknown;mau;72.0;1.75;23.510204081632654
King Shark;Masculino;black;Animal;No Hair;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Anti-Monitor;Masculino;yellow;God / Eternal;No Hair;61.0;DC Comics;unknown;mau;112.25252525252525;0.61;301.6730052473132
Lex Luthor;Masculino;green;Human;No Hair;188.0;DC Comics;unknown;mau;95.0;1.88;26.87867813490267
Heat Wave;Masculino;blue;Human;No Hair;180.0;DC Comics;unknown;mau;81.0;1.8;25.0
Black Manta;Masculino;black;Human;No Hair;188.0;DC Comics;unknown;mau;92.0;1.88;26.029877772747852
Ra's Al Ghul;Masculino;green;Human;Grey;193.0;DC Comics;unknown;mau;97.0;1.93;26.040967542752828
Metallo;Masculino;green;Android;Brown;196.0;DC Comics;unknown;mau;90.0;1.96;23.427738442315704
Atlas;Masculino;blue;God / Eternal;Brown;198.0;DC Comics;unknown;mau;126.0;1.98;32.13957759412305
Cheetah II;Feminino;green;Human;Brown;170.0;DC Comics;unknown;mau;55.0;1.7;19.031141868512112
Deadshot;Masculino;brown;Human;Brown;185.0;DC Comics;unknown;mau;91.0;1.85;26.588750913075234
Cheetah III;Feminino;brown;Human;Brown;175.0;DC Comics;unknown;mau;54.0;1.75;17.632653061224488
Scarecrow;Masculino;blue;Human;Brown;183.0;DC Comics;unknown;mau;63.0;1.83;18.812147272238644
Zoom;Masculino;red;unknown;Brown;185.0;DC Comics;unknown;mau;81.0;1.85;23.66691015339664
Rick Flag;Masculino;blue;unknown;Brown;185.0;DC Comics;unknown;mau;85.0;1.85;24.835646457268076
Cheetah;Feminino;green;Human;Blond;163.0;DC Comics;unknown;mau;50.0;1.63;18.818924310286427
Mister Zsasz;Masculino;blue;Human;Blond;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Ozymandias;Masculino;blue;Human;Blond;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Harley Quinn;Feminino;blue;Human;Blond;170.0;DC Comics;unknown;mau;63.0;1.7;21.79930795847751
Superboy-Prime;Masculino;blue;Kryptonian;Black / Blue;180.0;DC Comics;unknown;mau;77.0;1.8;23.76543209876543
Cyborg Superman;Masculino;blue;Cyborg;Black;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Gorilla Grodd;Masculino;yellow;Gorilla;Black;198.0;DC Comics;unknown;mau;270.0;1.98;68.87052341597796
White Canary;Feminino;brown;Human;Black;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Clock King;Masculino;blue;Human;Black;178.0;DC Comics;unknown;mau;78.0;1.78;24.61810377477591
Penguin;Masculino;blue;Human;Black;157.0;DC Comics;unknown;mau;79.0;1.57;32.049981743681286
General Zod;Masculino;black;Kryptonian;Black;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Big Barda;Feminino;blue;New God;Black;188.0;DC Comics;unknown;mau;135.0;1.88;38.19601629696695
Black Adam;Masculino;brown;unknown;Black;191.0;DC Comics;unknown;mau;113.0;1.91;30.97502809681752
Warp;Masculino;brown;unknown;Black;173.0;DC Comics;unknown;mau;67.0;1.73;22.386314277122523
Match;Masculino;black;unknown;Black;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Amazo;Masculino;red;Android;unknown;257.0;DC Comics;unknown;mau;173.0;2.57;26.192675135126954
Mister Mxyzptlk;Masculino;unknown;God / Eternal;unknown;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Bane;Masculino;unknown;Human;unknown;203.0;DC Comics;unknown;mau;180.0;2.03;43.67977868912132
Mister Freeze;Masculino;unknown;Human;unknown;183.0;DC Comics;unknown;mau;86.0;1.83;25.680074054167036
Faora;Feminino;unknown;Kryptonian;unknown;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Parademon;Desconhecido;unknown;Parademon;unknown;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Siren II;Feminino;black;unknown;unknown;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Chameleon;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Gog;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Moloch;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Riddler;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Two-Face;Masculino;unknown;unknown;unknown;183.0;DC Comics;unknown;mau;82.0;1.83;24.48565200513601
Darth Vader;Masculino;yellow;Cyborg;No Hair;198.0;George Lucas;unknown;mau;135.0;1.98;34.43526170798898
Boba Fett;Masculino;brown;Human / Clone;Black;183.0;George Lucas;unknown;mau;112.25252525252525;1.83;33.519222805257016
Kylo Ren;Masculino;unknown;Human;unknown;186.72630560928434;George Lucas;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Stormtrooper;Masculino;unknown;Human;unknown;183.0;George Lucas;unknown;mau;112.25252525252525;1.83;33.519222805257016
Red Mist;Masculino;unknown;unknown;unknown;186.72630560928434;Icon Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Anti-Spawn;Masculino;unknown;unknown;unknown;186.72630560928434;Image Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Billy Kincaid;Masculino;unknown;unknown;unknown;186.72630560928434;Image Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Cogliostro;Masculino;unknown;unknown;unknown;186.72630560928434;Image Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Curse;Masculino;unknown;unknown;unknown;186.72630560928434;Image Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Cy-Gor;Masculino;unknown;unknown;unknown;186.72630560928434;Image Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Overtkill;Masculino;unknown;unknown;unknown;186.72630560928434;Image Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Redeemer II;Masculino;unknown;unknown;unknown;186.72630560928434;Image Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Redeemer III;Masculino;unknown;unknown;unknown;186.72630560928434;Image Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Violator;Masculino;unknown;unknown;unknown;186.72630560928434;Image Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Angela;Feminino;unknown;unknown;unknown;186.72630560928434;Image Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Bomb Queen;Feminino;unknown;unknown;unknown;186.72630560928434;Image Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Sauron;Masculino;unknown;Maiar;unknown;279.0;J. R. R. Tolkien;unknown;mau;112.25252525252525;2.79;14.420745526461022
Utgard-Loki;Masculino;blue;Frost Giant;White;15.2;Marvel Comics;unknown;mau;58.0;0.152;2510.387811634349
Mandarin;Masculino;blue;Human;White;188.0;Marvel Comics;unknown;mau;97.0;1.88;27.44454504300589
Magneto;Masculino;grey;Mutant;White;188.0;Marvel Comics;unknown;mau;86.0;1.88;24.332277048438208
Spider-Woman IV;Feminino;red;unknown;White;178.0;Marvel Comics;unknown;mau;58.0;1.78;18.30576947355132
Tinkerer;Masculino;brown;unknown;White;163.0;Marvel Comics;unknown;mau;54.0;1.63;20.32443825510934
Air-Walker;Masculino;blue;unknown;White;188.0;Marvel Comics;unknown;mau;108.0;1.88;30.556813037573566
Venom;Masculino;blue;Symbiote;Strawberry Blond;191.0;Marvel Comics;unknown;mau;117.0;1.91;32.07148926838629
Siryn;Feminino;blue;unknown;Strawberry Blond;168.0;Marvel Comics;unknown;mau;52.0;1.68;18.42403628117914
Evil Deadpool;Masculino;white;Mutant;Red;188.0;Marvel Comics;unknown;mau;95.0;1.88;26.87867813490267
Carnage;Masculino;green;Symbiote;Red;185.0;Marvel Comics;unknown;mau;86.0;1.85;25.127830533235937
Scorpia;Feminino;green;unknown;Red;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Goblin Queen;Feminino;green;unknown;Red;168.0;Marvel Comics;unknown;mau;50.0;1.68;17.71541950113379
Arclight;Feminino;violet;unknown;Purple;173.0;Marvel Comics;unknown;mau;57.0;1.73;19.045073340238563
Demogoblin;Masculino;red;Demon;No Hair;185.0;Marvel Comics;unknown;mau;95.0;1.85;27.757487216946675
Lizard;Masculino;red;Human;No Hair;203.0;Marvel Comics;unknown;mau;230.0;2.03;55.81305054721057
Mysterio;Masculino;brown;Human;No Hair;180.0;Marvel Comics;unknown;mau;79.0;1.8;24.382716049382715
Vulture;Masculino;brown;Human;No Hair;180.0;Marvel Comics;unknown;mau;79.0;1.8;24.382716049382715
Absorbing Man;Masculino;blue;Human;No Hair;193.0;Marvel Comics;unknown;mau;122.0;1.93;32.75255711562727
Kingpin;Masculino;blue;Human;No Hair;201.0;Marvel Comics;unknown;mau;203.0;2.01;50.24628103264772
Abomination;Masculino;green;Human / Radiation;No Hair;203.0;Marvel Comics;unknown;mau;441.0;2.03;107.01545778834723
Onslaught;Masculino;red;Mutant;No Hair;305.0;Marvel Comics;unknown;mau;405.0;3.05;43.536683687180876
Dormammu;Masculino;yellow;unknown;No Hair;185.0;Marvel Comics;unknown;mau;112.25252525252525;1.85;32.79840036596793
Bloodwraith;Masculino;white;unknown;No Hair;30.5;Marvel Comics;unknown;mau;112.25252525252525;0.305;1206.6920209892528
Doppelganger;Masculino;white;unknown;No Hair;196.0;Marvel Comics;unknown;mau;104.0;1.96;27.072053311120367
Fixer;Desconhecido;red;unknown;No Hair;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Leader;Masculino;green;unknown;No Hair;178.0;Marvel Comics;unknown;mau;63.0;1.78;19.883853048857468
Vanisher;Masculino;green;unknown;No Hair;165.0;Marvel Comics;unknown;mau;79.0;1.65;29.017447199265384
Annihilus;Masculino;green;unknown;No Hair;180.0;Marvel Comics;unknown;mau;90.0;1.8;27.777777777777775
Red Skull;Masculino;blue;unknown;No Hair;188.0;Marvel Comics;unknown;mau;108.0;1.88;30.556813037573566
Razor-Fist II;Masculino;blue;unknown;No Hair;191.0;Marvel Comics;unknown;mau;117.0;1.91;32.07148926838629
Iron Monger;Masculino;blue;unknown;No Hair;186.72630560928434;Marvel Comics;unknown;mau;2.0;1.8672630560928434;0.5736130010750824
Yellow Claw;Masculino;blue;unknown;No Hair;188.0;Marvel Comics;unknown;mau;95.0;1.88;26.87867813490267
Plantman;Masculino;green;Mutant;Grey;183.0;Marvel Comics;unknown;mau;87.0;1.83;25.97867956642479
Hobgoblin;Masculino;blue;unknown;Grey;180.0;Marvel Comics;unknown;mau;83.0;1.8;25.61728395061728
Molten Man;Masculino;gold;unknown;Gold;196.0;Marvel Comics;unknown;mau;248.0;1.96;64.5564348188255
MODOK;Masculino;white;Cyborg;Brownn;366.0;Marvel Comics;unknown;mau;338.0;3.66;25.232165785780403
Doctor Octopus;Masculino;brown;Human;Brown;175.0;Marvel Comics;unknown;mau;110.0;1.75;35.91836734693877
Doctor Doom;Masculino;brown;Human;Brown;201.0;Marvel Comics;unknown;mau;187.0;2.01;46.28598302022228
Scorpion;Masculino;brown;Human;Brown;211.0;Marvel Comics;unknown;mau;310.0;2.11;69.63006221782979
Shocker;Masculino;brown;Human;Brown;175.0;Marvel Comics;unknown;mau;79.0;1.75;25.79591836734694
Taskmaster;Masculino;brown;Human;Brown;188.0;Marvel Comics;unknown;mau;99.0;1.88;28.010411951109102
Bloodaxe;Feminino;blue;Human;Brown;218.0;Marvel Comics;unknown;mau;495.0;2.18;104.1578991667368
Rhino;Masculino;brown;Human / Radiation;Brown;196.0;Marvel Comics;unknown;mau;320.0;1.96;83.29862557267806
Scarlet Witch;Feminino;blue;Mutant;Brown;170.0;Marvel Comics;unknown;mau;59.0;1.7;20.41522491349481
Mister Knife;Masculino;blue;Spartoi;Brown;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Venom III;Masculino;brown;Symbiote;Brown;229.0;Marvel Comics;unknown;mau;334.0;2.29;63.69062374859365
Kang;Masculino;brown;unknown;Brown;191.0;Marvel Comics;unknown;mau;104.0;1.91;28.50799046078781
Hydro-Man;Masculino;brown;unknown;Brown;188.0;Marvel Comics;unknown;mau;119.0;1.88;33.66908103214124
Doctor Doom II;Masculino;brown;unknown;Brown;201.0;Marvel Comics;unknown;mau;132.0;2.01;32.67245860250985
Blob;Masculino;brown;unknown;Brown;178.0;Marvel Comics;unknown;mau;230.0;1.78;72.59184446408281
Blizzard II;Masculino;brown;unknown;Brown;175.0;Marvel Comics;unknown;mau;77.0;1.75;25.142857142857142
Mach-IV;Masculino;brown;unknown;Brown;180.0;Marvel Comics;unknown;mau;79.0;1.8;24.382716049382715
Big Man;Masculino;blue;unknown;Brown;165.0;Marvel Comics;unknown;mau;71.0;1.65;26.07897153351699
Fabian Cortez;Desconhecido;blue;unknown;Brown;196.0;Marvel Comics;unknown;mau;96.0;1.96;24.989587671803417
Blizzard;Masculino;unknown;unknown;Brown;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Fallen One II;Masculino;black;unknown;Blue;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Bullseye;Masculino;blue;Human;blond;183.0;Marvel Comics;unknown;mau;90.0;1.83;26.874496103198062
Sabretooth;Masculino;amber;Mutant;Blond;198.0;Marvel Comics;unknown;mau;171.0;1.98;43.61799816345271
Omega Red;Masculino;red;unknown;Blond;211.0;Marvel Comics;unknown;mau;191.0;2.11;42.901102850340294
Proto-Goblin;Masculino;green;unknown;Blond;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Pyro;Masculino;blue;unknown;Blond;178.0;Marvel Comics;unknown;mau;68.0;1.78;21.461936624163616
Moonstone;Feminino;blue;unknown;Blond;180.0;Marvel Comics;unknown;mau;59.0;1.8;18.209876543209877
Loki;Masculino;green;Asgardian;Black;193.0;Marvel Comics;unknown;mau;236.0;1.93;63.35740556793471
Hela;Feminino;green;Asgardian;Black;213.0;Marvel Comics;unknown;mau;225.0;2.13;49.59333465582227
Abraxas;Masculino;blue;Cosmic Entity;Black;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Ajax;Masculino;brown;Cyborg;Black;193.0;Marvel Comics;unknown;mau;90.0;1.93;24.161722462347985
Lady Deathstrike;Feminino;brown;Cyborg;Black;175.0;Marvel Comics;unknown;mau;58.0;1.75;18.93877551020408
Ammo;Masculino;brown;Human;Black;188.0;Marvel Comics;unknown;mau;101.0;1.88;28.576278859212316
Kraven the Hunter;Masculino;brown;Human;Black;183.0;Marvel Comics;unknown;mau;106.0;1.83;31.652184299322162
Diamondback;Masculino;brown;Human;Black;193.0;Marvel Comics;unknown;mau;90.0;1.93;24.161722462347985
Cottonmouth;Masculino;brown;Human;Black;183.0;Marvel Comics;unknown;mau;99.0;1.83;29.56194571351787
Kraven II;Masculino;brown;Human;Black;191.0;Marvel Comics;unknown;mau;99.0;1.91;27.137413996326856
Walrus;Masculino;blue;Human;Black;183.0;Marvel Comics;unknown;mau;162.0;1.83;48.37409298575651
Mister Sinister;Masculino;red;Human / Altered;Black;196.0;Marvel Comics;unknown;mau;128.0;1.96;33.31945022907122
Morlun;Masculino;white / red;unknown;Black;188.0;Marvel Comics;unknown;mau;79.0;1.88;22.351742870076958
Mephisto;Masculino;white;unknown;Black;198.0;Marvel Comics;unknown;mau;140.0;1.98;35.710641771247836
Black Abbott;Masculino;red;unknown;Black;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Black Mamba;Feminino;green;unknown;Black;170.0;Marvel Comics;unknown;mau;52.0;1.7;17.99307958477509
Venom II;Masculino;brown;unknown;Black;175.0;Marvel Comics;unknown;mau;50.0;1.75;16.3265306122449
Moses Magnum;Masculino;brown;unknown;Black;175.0;Marvel Comics;unknown;mau;72.0;1.75;23.510204081632654
Changeling;Masculino;brown;unknown;Black;180.0;Marvel Comics;unknown;mau;81.0;1.8;25.0
Frenzy;Feminino;brown;unknown;Black;211.0;Marvel Comics;unknown;mau;104.0;2.11;23.35976280856225
Jigsaw;Masculino;blue;unknown;Black;188.0;Marvel Comics;unknown;mau;113.0;1.88;31.9714803078316
Blackwing;Masculino;blue;unknown;Black;185.0;Marvel Comics;unknown;mau;86.0;1.85;25.127830533235937
Callisto;Feminino;blue;unknown;Black;175.0;Marvel Comics;unknown;mau;74.0;1.75;24.163265306122447
Lady Bullseye;Feminino;unknown;unknown;Black;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Electro;Masculino;blue;Human;Auburn;180.0;Marvel Comics;unknown;mau;74.0;1.8;22.839506172839506
Green Goblin;Masculino;blue;Human;Auburn;180.0;Marvel Comics;unknown;mau;83.0;1.8;25.61728395061728
Green Goblin II;Masculino;blue;unknown;Auburn;178.0;Marvel Comics;unknown;mau;77.0;1.78;24.302487059714682
